[   0 ,    0  97   3] 时隙: 0-------------------------------------------------------------------------------
[   0 ,  660 118 135] 时隙: 8-------------------------------------------------------------------------------
[   0 ,  662 607 330] high freq  662500   265
[   0 ,  665  94 178] high freq  665000   266
[   0 ,  667 593 355] high freq  667500   267
[   0 ,  670  97 700] high freq  670000   268
[   0 ,  672 597 580] high freq  672500   269
[   0 ,  675  88 948] high freq  675000   270
[   0 ,  677 588 238] high freq  677500   271
[   0 ,  680  88 650] high freq  680000   272
[   0 ,  680 112 788] 时隙: 9-------------------------------------------------------------------------------
[   0 ,  682 604 253] high freq  682500   273
[   0 ,  685  93 553] high freq  685000   274
[   0 ,  687 592 678] high freq  687500   275
[   0 ,  690  92 240] high freq  690000   276
[   0 ,  692 596 760] high freq  692500   277
[   0 ,  695  88 825] high freq  695000   278
[   0 ,  697 588  93] high freq  697500   279
[   0 ,  700  88 355] high freq  700000   280
[   0 ,  700 112 318] 时隙:10-------------------------------------------------------------------------------
[   0 ,  702 601 458] high freq  702500   281
[   0 ,  705  93 758] high freq  705000   282
[   0 ,  707 592 865] high freq  707500   283
[   0 ,  710  92 270] high freq  710000   284
[   0 ,  712 595 808] high freq  712500   285
[   0 ,  715  88 365] high freq  715000   286
[   0 ,  717 588 265] high freq  717500   287
[   0 ,  720  92 620] high freq  720000   288
[   0 ,  720 117 298] 时隙:11-------------------------------------------------------------------------------
[   0 ,  722 603 855] high freq  722500   289
[   0 ,  725  93 703] high freq  725000   290
[   0 ,  727 592 753] high freq  727500   291
[   0 ,  730  92 833] high freq  730000   292
[   0 ,  732 595 668] high freq  732500   293
[   0 ,  735  89  40] high freq  735000   294
[   0 ,  737 588 113] high freq  737500   295
[   0 ,  740  88 545] high freq  740000   296
[   0 ,  740 112 243] 时隙:12-------------------------------------------------------------------------------
[   0 ,  742 603 250] high freq  742500   297
[   0 ,  745  93 230] high freq  745000   298
[   0 ,  747 593  53] high freq  747500   299
[   0 ,  750  92 495] high freq  750000   300
[   0 ,  752 596 568] high freq  752500   301
[   0 ,  755  89 108] high freq  755000   302
[   0 ,  757 588 610] high freq  757500   303
[   0 ,  760  88 588] high freq  760000   304
